15 Ngo Quyen, Tràng Tiền, Hoàn Kiếm, Hà Nội, Việt Nam
1A Nghi Tàm, Quảng An, Tây Hồ, Hà Nội, Việt Nam
2 Lam Sơn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
1 Đông Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
Đường Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Việt Nam
Bãi Dài, Gành Dầu, Phú Quốc, Kiên Giang, Việt Nam
8 Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm, Hà Nội, Việt Nam
22-36 Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
1 Phạm Hồng Thái, Cẩm Châu, Hội An, Quảng Nam, Việt Nam
Bình Minh, Bình Dương, Thăng Bình, Quảng Nam, Việt Nam
1A Đỗ Quang, Trung Hòa, Cầu Giấy, Hà Nội, Việt Nam
36 Lý Thường Kiệt, Phường 7, Đà Lạt, Lâm Đồng, Việt Nam
23 Nguyễn Trung Trực,Phường 7, Huế, Thừa Thiên Huế, Việt Nam
88 Trần Phú, Phường 3, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam
64 Hùng Vương, Phường 10, Nha Trang, Khánh Hòa, Việt Nam
29 Trương Công Định, Phường 14, Vũng Tàu, Bà Rịa - Vũng Tàu, Việt Nam
12 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam
25 Lê Lợi, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu, Việt Nam
48 Trần Phú, Phường 4, Vũng Tàu, Bà Rịa - Vũng Tàu, Việt Nam
10 Thụy Khuê, Thụy Khuê, Tây Hồ, Hà Nội, Việt Nam
32 Võ Văn Kiệt, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
18 Võ Văn Kiệt, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
57 Trần Phú, Phường 3, Vũng Tàu, Bà Rịa - Vũng Tàu, Việt Nam
14 Thái Phiên, Phường Lộc Thọ, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam
3 Hải Triều, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
7A/4 Hồ Biểu Chánh, Phường 12, Phú Nhuận, Hồ Chí Minh, Việt Nam
